model,fold_id,uf,onset_week_error,peak_timing_error,peak_magnitude_error,total_cases_error
gru_negbin,1,AM,0.0,4,-1.0288976560527485,-0.6493063359851008
gru_negbin,1,AP,-12.0,-28,-3.891820298110627,-1.9912164560228967
gru_negbin,1,BA,3.0,-7,-0.07398771480284638,-0.1098010601358414
gru_negbin,1,CE,0.0,1,0.739792534691402,0.6515131342065286
gru_negbin,1,DF,3.0,1,-0.2506518475046368,-0.5856429226685858
gru_negbin,1,GO,3.0,4,0.7430942998778953,0.7309647949095952
gru_negbin,1,MA,5.0,0,0.40093174073057336,0.6250572500912455
gru_negbin,1,MG,0.0,0,-0.6120977740557235,-0.5545816254957235
gru_negbin,1,MS,6.0,2,-0.5857132862095392,-0.4227291067723248
gru_negbin,1,MT,-1.0,-1,-0.259436123228002,0.03090784519747286
gru_negbin,1,PA,0.0,-5,-0.7956258498428826,-0.3385731215740025
gru_negbin,1,PB,0.0,1,0.3304461052280572,0.6860051888687692
gru_negbin,1,PE,0.0,7,0.7431576011346067,1.4096369622071567
gru_negbin,1,PI,-12.0,1,-0.6300431740852431,-0.3485469593986353
gru_negbin,1,PR,-8.0,-2,-0.6590128902025228,-0.1502059577446234
gru_negbin,1,RJ,1.0,3,-0.35560542512020554,-0.38194346944591584
gru_negbin,1,RN,0.0,-2,0.6449703252107192,1.3557428650459014
gru_negbin,1,RO,0.0,3,-1.659270286181976,-1.2792456394791982
gru_negbin,1,RR,-1.0,1,-2.3470368555648795,-0.7947208374862742
gru_negbin,1,RS,-6.0,-3,-0.3395301068361035,-0.031125485734933053
gru_negbin,1,SC,-11.0,-4,-2.846119220258258,-2.3428473736547826
gru_negbin,1,SE,0.0,0,-0.2055821243842624,0.15238171383241375
gru_negbin,1,SP,-4.0,-1,-0.9440554935247225,-0.6462335394115428
gru_negbin,1,TO,0.0,-6,0.4772967892023393,0.790190763467738
gru_negbin,2,AC,-3.0,7,-1.430137505974322,-0.08566078674064061
gru_negbin,2,AL,-16.0,-4,-0.7036261359589366,-0.5960901819294582
gru_negbin,2,AM,-1.0,6,-1.9254213335077957,-0.8715378292709315
gru_negbin,2,AP,-12.0,1,-4.180286992022825,-3.521193856957411
gru_negbin,2,BA,-16.0,-5,-3.121601606641732,-2.3540630149399817
gru_negbin,2,CE,3.0,7,0.18119732958167356,0.9376728463335169
gru_negbin,2,DF,-9.0,9,-4.226803529027811,-3.0635207541447076
gru_negbin,2,GO,-12.0,5,-2.195129114431101,-1.7236011135570155
gru_negbin,2,MA,-8.0,3,-1.5878306838463463,-0.8409491409770273
gru_negbin,2,MG,-9.0,3,-3.462194486734712,-3.0333641701309357
